image_file,staff,cvat
IMG_0643.jpg,5,5
IMG_0647.jpg,27,27
IMG_0650.jpg,164,164
IMG_0653.jpg,58,58
IMG_0655.jpg,83,83
IMG_0658.jpg,0,0
IMG_0664.jpg,29,30
IMG_0666.jpg,29,29
IMG_0668.jpg,35,35
10_3_i.jpg,42,145
10_3_ii.jpg,58,60
10_3_iii.jpg,44,45
IMG_0527.jpg,143,231
IMG_0529.jpg,260,551
IMG_0531.jpg,170,290
IMG_0534.jpg,43,39
IMG_0536.jpg,42,41
IMG_0538.jpg,63,66
IMG_0541.jpg,250,250
IMG_0543.jpg,200,200
IMG_0545.jpg,324,324
IMG_0548.jpg,21,20
IMG_0549.jpg,14,14
IMG_0551.jpg,17,19
IMG_0554.jpg,57,69
IMG_0556.jpg,80,99
IMG_0558.jpg,81,81
IMG_0561.jpg,9,174
IMG_0563.jpg,9,118
IMG_0565.jpg,9,105
IMG_0566.jpg,100,93
IMG_0568.jpg,126,111
IMG_0570.jpg,161,111
IMG_0572.jpg,24,25
IMG_0575.jpg,9,10
IMG_0577.jpg,47,49
IMG_0580.jpg,174,174
IMG_0582.jpg,118,118
IMG_0584.jpg,105,105
IMG_0587.jpg,12,11
IMG_0589.jpg,14,14
IMG_0591.jpg,15,16
IMG_0594.jpg,20,88
IMG_0596.jpg,110,110
IMG_0598.jpg,82,96
IMG_0601.jpg,7,7
IMG_0603.jpg,15,14
IMG_0605.jpg,11,11
IMG_0608.jpg,84,84
IMG_0610.jpg,104,104
IMG_0612.jpg,129,129
IMG_0615.jpg,1,1
IMG_0617.jpg,2,2
IMG_0619.jpg,0,0
IMG_0621.jpg,1,1
IMG_0624.jpg,1,1
IMG_0626.jpg,1,0
IMG_0628.jpg,1,1
IMG_0631.jpg,1,1
IMG_0633.jpg,0,0
IMG_0636.jpg,6,6
IMG_0638.jpg,9,9
IMG_0640.jpg,13,13
IMG_0659.jpg,1,1
IMG_0661.jpg,2,2
IMG_0671.jpg,2,3
IMG_0673.jpg,0,0
IMG_0678.jpg,7,7
IMG_0680.jpg,12,15
IMG_0682.jpg,4,4
IMG_0685.jpg,0,1
IMG_0686.jpg,1,1
IMG_0688.jpg,3,3
IMG_0691.jpg,22,22
IMG_0693.jpg,15,15
IMG_0695.jpg,8,9
IMG_0698.jpg,0,1
IMG_0700.jpg,1,2
IMG_0702.jpg,0,1
IMG_0705.jpg,3,3
IMG_0707.jpg,9,9
IMG_0709.jpg,7,7
IMG_0712.jpg,6,6
IMG_0714.jpg,10,10
IMG_0716.jpg,30,30
IMG_0719.jpg,168,168
IMG_0721.jpg,212,212
IMG_0723.jpg,150, 156
IMG_0726.jpg,149,155
IMG_0728.jpg,36,35
IMG_0730.jpg,29,30
IMG_0733.jpg,66,91
IMG_0735.jpg,73,72
IMG_0737.jpg,61,93
